"Index","DOLX19","DOLOF","INDV19","IBOV","IBXX","IEEX","OZ1D","TBF"
"1996-01-02",8921.111722,0.9726,85767.0625,4390,1010,998,12.17,2.683
"1996-01-03",8918.834069,0.9727,90979.42541,4681.4,1071,1018,12.37,2.6242
"1996-01-04",8918.378538,0.9728,90600.34447,4684,1072,1004,12.33,2.491
"1996-01-05",8917.467477,0.9727,90410.80401,4694.3,1070,1004,12.44,2.4229
"1996-01-08",8915.809345,0.9726,91263.73612,4741,1077,998,12.4,2.6562
"1996-01-09",8915.189824,0.9726,88799.71001,4653.8,1062,997,12.35,2.6684
"1996-01-10",8917.923007,0.9726,87757.23743,4622.1,1048,990,12.45,2.7371
"1996-01-11",8919.289599,0.9731,91168.96588,4748.6,1068,1010,12.4,2.5752
"1996-01-12",8916.556415,0.9734,93064.37058,4846.5,1087,1016,12.51,2.4832
"1996-01-15",8915.189824,0.9727,93632.99199,4895.4,1098,1023,12.44,2.7111
"1996-01-16",8913.367701,0.9726,92116.66823,4846.7,1098,1026,12.4,2.6945
"1996-01-17",8915.189824,0.9727,91927.12776,4836.2,1098,1036,12.53,2.7422
"1996-01-18",8912.001109,0.9729,92306.2087,4833.8,1100,1029,12.49,2.6127
"1996-01-19",8911.090048,0.9732,93632.99199,4909,1116,1037,12.5,2.5338
"1996-01-22",8908.812395,0.9746,92874.83011,4893.8,1122,1046,12.63,2.5582
"1996-01-23",8912.629741,0.9766,95149.31575,4985.2,1139,1073,12.635,2.5835
"1996-01-24",8916.556415,0.9769,93822.53246,4945.2,1135,1079,12.65,2.5529
"1996-01-26",8922.933844,0.9784,92021.898,4907.7,1132,1090,12.8,2.3068
"1996-01-29",8923.389375,0.9788,93064.37058,4934.8,1134,1083,12.77,2.6157
"1996-01-30",8919.289599,0.9787,96570.86927,5133.4,1165,1104,12.78,2.5536
"1996-01-31",8916.100885,0.9786,96476.09903,5151.5,1174,1113,12.7,2.4536
"1996-02-01",8912.485637,0.9786,98466.27396,5269.3,1201,1147,12.87,2.275
"1996-02-02",8908.87039,0.9786,101119.8405,5410.9,1230,1181,13.06,2.2123
"1996-02-05",8908.87039,0.9787,99698.28702,5332.9,1213,1175,13,2.2347
"1996-02-06",8910.226108,0.9786,100835.5298,5354,1213,1196,12.93,2.1833
"1996-02-07",8908.87039,0.9788,99508.74655,5283,1202,1181,12.848,2.1868
"1996-02-08",8905.70705,0.9787,100645.9894,5322.6,1207,1177,12.84,2.1711
"1996-02-09",8904.803238,0.9788,99182.04773,5305.4,1207,1176,12.67,2.13
"1996-02-12",8902.54371,0.9787,99548.03314,5338.9,1212,1164,12.63,2.1142
"1996-02-13",8900.748029,0.9806,100280.004,5385.5,1226,1177,12.65,2.1199
"1996-02-14",8900.748029,0.9813,99182.04773,5330.8,1212,1169,12.78,2.1016
"1996-02-15",8899.401267,0.9834,98084.09148,5273.7,1199,1162,12.75,2.0793
"1996-02-16",8897.605585,0.9832,95064.7118,5172.9,1181,1156,12.75,2.0638
"1996-02-22",8894.912062,0.9824,97718.10606,5237.7,1185,1157,12.6,2.2615
"1996-02-23",8885.93365,0.9822,97901.09877,5274.3,1197,1176,12.58,2.2056
"1996-02-26",8891.320697,0.9836,96986.13523,5245.2,1193,1186,12.61,2.1755
"1996-02-27",8895.360982,0.9869,96071.17169,5193,1175,1183,12.635,2.1785
"1996-02-28",8890.871777,0.9838,95888.17898,5199.2,1183,1181,12.65,2.1755
"1996-02-29",8898.503426,0.9842,91313.36128,4957.7,1138,1150,12.6,2.1275
"1996-03-01",8898.054506,0.984,94058.2519,5083.3,1164,1166,12.64,2.1245
"1996-03-04",8893.116379,0.9837,95339.20086,5152.6,1178,1169,12.5,2.3969
"1996-03-05",8894.014221,0.9837,95156.20815,5197.9,1188,1187,12.47,2.2466
"1996-03-06",8894.912062,0.9837,90947.37587,4975.3,1145,1154,12.5,2.1597
"1996-03-07",8893.116379,0.9845,87653.50712,4755.9,1094,1109,12.52,2.0442
"1996-03-08",8891.320697,0.9843,86189.56546,4721.9,1088,1105,12.6,1.933
"1996-03-11",8891.769618,0.9843,87653.50712,4771.7,1093,1134,12.55,2.1628
"1996-03-12",8889.973936,0.9842,86921.53629,4739.4,1094,1138,12.58,2.1504
"1996-03-13",8889.076094,0.9854,87836.49983,4805.5,1108,1144,12.61,2.1488
"1996-03-14",8890.422856,0.9869,88202.48525,4841.2,1111,1157,12.61,2.0489
"1996-03-15",8891.320697,0.9868,88202.48525,4852.5,1117,1165,12.6,1.942
"1996-03-18",8891.320697,0.9866,89117.44879,4886.9,1122,1174,12.59,2.1723
"1996-03-19",8891.320697,0.9868,88202.48525,4851.5,1117,1164,12.58,2.1578
"1996-03-20",8889.973936,0.9883,89300.44149,4868.3,1117,1169,12.64,2.1429
"1996-03-21",8888.627174,0.9874,92228.32482,4979.7,1138,1182,12.68,2.0318
"1996-03-22",8887.280412,0.9875,93143.28836,5051.2,1152,1197,12.65,1.8762
"1996-03-25",8886.831492,0.9879,92777.30295,5031.6,1151,1196,12.65,2.1685
"1996-03-26",8884.137968,0.9881,91130.36857,4981.7,1137,1190,12.775,2.1352
"1996-03-27",8880.995524,0.9878,91862.33941,5039.6,1146,1203,12.68,2.1419
"1996-03-28",8875.159557,0.9881,90215.40503,4980.5,1137,1195,12.64,2.0347
"1996-03-29",8870.670351,0.988,89849.41962,4954.9,1137,1192,12.639,1.9535
"1996-04-01",8867.54578,0.9881,91130.36857,5009.2,1149,1208,12.59,1.9683
"1996-04-02",8867.54578,0.9875,90672.8868,4985.5,1143,1224,12.56,1.8534
"1996-04-03",8863.0821,0.9874,90398.39774,4977.5,1142,1214,12.54,1.8682
"1996-04-08",8862.635732,0.9875,88293.9816,4853.6,1117,1191,12.68,2.042
"1996-04-09",8863.0821,0.9886,88934.45608,4866.4,1114,1194,12.62,2.0227
"1996-04-10",8862.189364,0.9896,89208.94514,4889.5,1117,1204,12.65,2.0344
"1996-04-11",8861.296628,0.9908,88568.47066,4885.1,1113,1195,12.6,2.0026
"1996-04-12",8859.957525,0.9905,91496.35399,5015.5,1136,1212,12.6,1.8745
"1996-04-15",8861.742996,0.9899,92304.46703,5022.3,1133,1205,12.57,1.9664
"1996-04-16",8860.85026,0.9903,90957.61196,4989.3,1133,1201,12.5,1.9558
"1996-04-17",8859.064789,0.99,91137.19264,5003.9,1135,1201,12.48,1.9565
"1996-04-18",8859.064789,0.9896,91586.14433,5002,1137,1201,12.43,1.9248
"1996-04-19",8862.189364,0.9915,93381.95108,5075.6,1150,1198,12.52,1.8187
"1996-04-22",8860.85026,0.9916,93022.78973,5079.6,1150,1191,12.6,1.8922
"1996-04-23",8861.296628,0.9915,92304.46703,5061.9,1148,1180,12.5,1.8546
"1996-04-24",8859.957525,0.9916,91765.725,5047,1145,1182,12.54,1.8748
"1996-04-25",8858.172053,0.9917,94190.06412,5121.8,1155,1192,12.54,1.8395
"1996-04-26",8863.528468,0.9922,93830.90277,5142.6,1162,1190,12.47,1.724
"1996-04-29",8863.0821,0.9926,93651.32209,5149.3,1163,1196,12.42,1.8445
"1996-04-30",8861.296628,0.9925,93920.6931,5164.1,1167,1187,12.56,1.826
"1996-05-02",8860.408943,0.9925,92843.20905,5146,1173,1180,12.6,1.9419
"1996-05-03",8859.965101,0.9926,91586.14433,5101.4,1167,1173,12.52,1.8506
"1996-05-06",8866.178883,0.9926,93561.53175,5153,1171,1176,12.61,2.0388
"1996-05-07",8865.2912,0.9927,95896.08053,5283.9,1194,1210,12.62,1.9697
"1996-05-08",8862.184309,0.9928,97512.30661,5360.5,1204,1225,12.57,1.99
"1996-05-09",8866.622724,0.9939,97063.35492,5388.5,1214,1242,12.57,1.9009
"1996-05-10",8862.62815,0.9946,96075.66121,5345.4,1209,1236,12.56,1.8381
"1996-05-13",8862.62815,0.9951,99667.27471,5480.2,1229,1249,12.55,2.0078
"1996-05-14",8862.62815,0.996,98410.20998,5428.1,1219,1242,12.55,2.0036
"1996-05-15",8862.62815,0.9958,98230.62931,5448.3,1225,1239,12.63,2.0392
"1996-05-16",8862.184309,0.9965,98769.37133,5475.6,1230,1221,12.628,1.9377
"1996-05-17",8863.071992,0.9958,100565.1781,5560.3,1241,1245,12.62,1.8782
"1996-05-20",8862.62815,0.9956,101822.2428,5655.6,1259,1249,12.57,2.1053
"1996-05-21",8860.408943,0.9956,100565.1781,5601.9,1253,1247,12.53,2.0824
"1996-05-22",8860.408943,0.9958,102360.9848,5681.5,1262,1264,12.54,2.1044
"1996-05-23",8860.408943,0.9962,98948.95201,5530.8,1237,1239,12.54,1.9753
